Epoch,GCN,GGNN,GAT,GAAN
0,102.962,143.342,315.397,597.381
1,98.714,126.247,314.34,629.863
2,91.474,126.341,314.086,595.551
3,87.629,124.946,317.192,595.998
4,87.899,125.872,347.622,599.533
5,87.87,126.087,314.099,595.327
6,87.494,125.662,314.682,602.768
7,87.656,125.535,316.145,598.797
8,87.878,125.071,313.858,597.824
9,87.596,125.686,315.352,598.917
10,87.769,126.638,314.66,599.145
11,87.953,126.963,314.344,600.631
12,87.574,124.631,313.785,597.490 
13,87.454,154.193,315.166,599.907
14,87.665,127.629,315.388,599.556
15,87.403,125.876,314.099,597.439
16,87.992,126.646,315.656,601.353
17,87.756,126.976,313.969,597.899
18,122.389,125.512,315.379,618.904
19,87.275,125.514,315.562,601.545
