Epoch,GCN,GGNN,GAT,GAAN
0,19.785,22.88,92.387,187.911
1,19.89,22.195,89.481,148.595
2,22.122,22.765,81.083,148.627
3,23.998,23.268,71.219,150.467
4,20.665,22.322,71.401,148.788
5,20.463,20.702,71.73,148.485
6,20.42,21.411,72.27,148.759
7,20.477,23.919,71.826,178.525
8,20.11,21.654,72.538,148.571
9,20.51,21.794,72.458,148.849
10,20.717,24.459,71.223,149.14
11,19.135,20.160 ,71.643,149.126
12,18.35,20.279,71.581,148.108
13,17.434,20.228,71.366,150.138
14,17.944,20.234,71.941,148.34
15,21.806,20.676,72.734,150.152
16,20.715,20.503,74.047,147.093
17,19.941,19.367,78.282,148.082
18,19.979,18.755,95.739,146.629
19,19.902,18.904,71.183,146.824
